Level3, 209.244.0.3, 209.244.0.4
Verisign, 64.6.64.6, 64.6.65.6
Google, 8.8.8.8, 8.8.4.4
DNS.WATCH, 84.200.69.80, 84.200.70.40
Comodo Secure DNS,"	8.26.56.26","	8.20.247.20"
OpenDNS Home, 208.67.222.222,"	208.67.220.220"
China Telecom Beijing,202.96.199.133,202.96.0.133
China Telecom Jilin,219.149.194.55,
China Telecom Shanghai,202.96.209.5,202.96.209.133
China Unicom Beijing,61.135.164.13,61.135.164.18
China Unicom Jilin,202.98.0.68,202.98.1.11
China Unicom Shanghai,210.22.70.3,211.95.1.97
114DNS,114.114.114.114,
